Quantity,Designator,Manufacturer,Manufacturer Part Number,DesignItemId

"2","C12, C27","Taiyo Yuden","UMK107BJ105KA-T","CAP CER 1uF 50V X5R 0603"
"1","C7","Murata","GRM155R61A475MEAAD","CAP CER 4.7uF 10V X5R 0402"
"7","C4A, C4B, C8, C9, C11, C14, C21","Samsung","CL21A106KAYNNNE","CAP CER 10uF 25V X5R 0805"
"10","C1A, C1B, C2A, C2B, C5A, C5B, C10, C13, C15, C26","Samsung","CL05A104KA5NNNC","CAP CER 100nF 25V X5R 0402"
"2","C6A, C6B","Yageo","CC0402JPNPO9BN101","CAP CER 100pF 50V C0G 0402"
"2","C3A, C3B","","","CAP CER 470nF 10V X7R 0402"
"5","J1, J2, J6, J7, J13","","","CON SMA BORE TH HJ-SMA058"
"2","J9, J11","Harwin","M22-6550442R","CONN HDR 08 FEMALE RA 2 ROW"
"2","J5, J10","Wurth Electronics","610108249121","CONN HDR 08 MALE RA 2 ROW"
"8","FB1A, FB1B, FB2A, FB2B, FB3, FB4, FB5, FB6","Taiyo Yuden","BK1005LL680-T","FB 68R 400mA 310mR 0402"
"2","U1A, U1B","","","IC AN SWITCH SPDT 340MHz 15R SN74LVC1G3157DCKR"
"2","U2A, U2B","","","IC LOGIC INVERTER 32mA"
"3","U3A, U3B, U4","","","IC OPAMP SOT5/6-23 GENERIC"
"2","R5, R6","Yageo","RC0402FR-071KL","RES 1k00 63mW 0402"
"4","R1A, R1B, R2A, R2B","Yageo","RC0402FR-07100RL","RES 100R 63mW 1% 0402"
"2","R3A, R3B","","","RES 200R 1% 63mW 0402"
"4","TP18, TP21, TP24, TP25","KOA Speer","RCWCTE","TP CLIP 1206 RCWCTE"
"8","TP2A, TP2B, TP3A, TP3B, TP4A, TP4B, TP5, TP6","Hirose","U.FL-R-SMT-1(80)","TP U.FL"
