Altium Designer Pick and Place Locations
D:\PersonalProjects\Self-Mixing Diode\IQDemod\.\Output Files\Pick Place\Pick Place for IQDemod(V0.0.0).csv

========================================================================================================================
File Design Information:

Date:       22-08-23
Time:       21:02
Revision:   12a31300c6b9f59363aab8336a59e5180ae52a0f
Variant:    V0.0.0
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP6","U.FL","TopLayer","U.FL","80.2250","23.1500","180","CONN U.FL RCPT STR 50 OHM SMD"
"TP25","CLIP","TopLayer","TESTPOINT_CLIP_1206","92.8750","71.3500","0","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP24","CLIP","TopLayer","TESTPOINT_CLIP_1206","52.0250","16.6500","270","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP21","CLIP","TopLayer","TESTPOINT_CLIP_1206","87.4000","22.6250","270","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"U3B","SOT5/6-23 GENERIC","TopLayer","SOT23-5/6_Modified","79.7999","50.2000","270",""
"U3A","SOT5/6-23 GENERIC","TopLayer","SOT23-5/6_Modified","79.7999","32.9000","270",""
"U2B","74LVC1G14SE-7","TopLayer","SC70_5pin_TI_DCK","68.2999","52.8250","0","74LVC Series 5.5 V Surface Mount Single Schmitt-Trigger Inverter - SOT-353"
"U2A","74LVC1G14SE-7","TopLayer","SC70_5pin_TI_DCK","68.2999","35.5250","0","74LVC Series 5.5 V Surface Mount Single Schmitt-Trigger Inverter - SOT-353"
"U1B","SN74LVC1G3157DCKR","TopLayer","SC70-6","71.8499","51.0750","90","5-V, 2: 1 (SPDT), 1-channel general-purpose analog switch 6-SC70 -40 to 125"
"U1A","SN74LVC1G3157DCKR","TopLayer","SC70-6","71.8499","33.7750","90","5-V, 2: 1 (SPDT), 1-channel general-purpose analog switch 6-SC70 -40 to 125"
"TP4B","U.FL","TopLayer","U.FL","92.8999","51.8000","270","CONN U.FL RCPT STR 50 OHM SMD"
"TP4A","U.FL","TopLayer","U.FL","92.8999","34.5000","270","CONN U.FL RCPT STR 50 OHM SMD"
"TP3B","U.FL","TopLayer","U.FL","83.7999","51.8000","270","CONN U.FL RCPT STR 50 OHM SMD"
"TP3A","U.FL","TopLayer","U.FL","83.7999","34.5000","270","CONN U.FL RCPT STR 50 OHM SMD"
"TP2B","U.FL","TopLayer","U.FL","75.0499","52.6250","270","CONN U.FL RCPT STR 50 OHM SMD"
"TP2A","U.FL","TopLayer","U.FL","75.0499","35.3250","270","CONN U.FL RCPT STR 50 OHM SMD"
"R3B","200R","TopLayer","R0402","75.9251","49.1174","270","SMD Chip Resistor, 200 Ohm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose"
"R3A","200R","TopLayer","R0402","75.9251","31.8175","270","SMD Chip Resistor, 200 Ohm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose"
"R2B","100R","TopLayer","R0402","74.2999","48.6500","180","Res General Purpose Thick Film 0402 100 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R2A","100R","TopLayer","R0402","74.2999","31.3500","180","Res General Purpose Thick Film 0402 100 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R1B","100R","TopLayer","R0402","87.6249","51.8000","180","Res General Purpose Thick Film 0402 100 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R1A","100R","TopLayer","R0402","87.6249","34.5000","180","Res General Purpose Thick Film 0402 100 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"J13","HJ-2LC15SF026","TopLayer","SMA_TH_BORE","49.4000","42.7500","270",""
"J7","HJ-2LC15SF026","TopLayer","SMA_TH_BORE","61.6749","52.8250","0",""
"J2","HJ-2LC15SF026","TopLayer","SMA_TH_BORE","100.1499","51.8000","90",""
"J1","HJ-2LC15SF026","TopLayer","SMA_TH_BORE","100.1499","34.5000","90",""
"FB6","68R","TopLayer","FB0402","70.5500","25.1750","270","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB5","68R","TopLayer","FB0402","68.8000","24.4250","270","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB4","68R","TopLayer","FB0402","76.3250","67.1250","90","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB3","68R","TopLayer","FB0402","69.1500","64.1435","90","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB2B","68R","TopLayer","FB0402","85.6999","48.2000","270","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB2A","68R","TopLayer","FB0402","85.6999","30.9000","270","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB1B","68R","TopLayer","FB0402","68.9500","56.0250","180","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB1A","68R","TopLayer","FB0402","68.9499","38.7250","180","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
