Altium Designer Pick and Place Locations
D:\PersonalProjects\Self-Mixing Diode\LaserDiode_Analog\.\Output Files\Pick Place\Pick Place for LaserDiode_Analog(V0.0.0).csv

========================================================================================================================
File Design Information:

Date:       02-04-23
Time:       16:13
Revision:   6363ac77682e2115bbf63dd53beb149ffa1dd67e
Variant:    V0.0.0
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP25","CLIP","TopLayer","TESTPOINT_CLIP_1206","92.4000","35.4500","270","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP24","CLIP","TopLayer","TESTPOINT_CLIP_1206","54.3000","24.9250","0","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP21","CLIP","TopLayer","TESTPOINT_CLIP_1206","86.2750","55.6500","270","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP18","CLIP","TopLayer","TESTPOINT_CLIP_1206","49.3750","47.6250","270","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"U2","SI5351A-B-GTR","TopLayer","TSSOP50P490X110-10N","81.8750","48.8047","270","SILICON LABS - SI5351A-B-GTR - GÈnÈrateur d'horloge Programmable, 200MHz, Alim. 2,25V ‡ 3.6V, 3 sorties, MSOP-10"
"U1","DAC104S085QIMMX/NOPB","TopLayer","TSSOP50P490X110-10N","55.3250","55.4000","180","DAC 4-CH Resistor-String 10-bit Automotive 10-Pin VSSOP T/R"
"TP22","U.FL","TopLayer","U.FL","92.9000","23.3000","180","CONN U.FL RCPT STR 50 OHM SMD"
"TP11","U.FL","TopLayer","U.FL","91.9500","40.7000","270","CONN U.FL RCPT STR 50 OHM SMD"
"TP6","U.FL","TopLayer","U.FL","91.6000","50.9750","180","CONN U.FL RCPT STR 50 OHM SMD"
"TP5","U.FL","TopLayer","U.FL","86.0500","60.4000","90","CONN U.FL RCPT STR 50 OHM SMD"
"TP4","U.FL","TopLayer","U.FL","75.9000","60.7500","90","CONN U.FL RCPT STR 50 OHM SMD"
"TP3","U.FL","TopLayer","U.FL","69.2500","61.5000","180","CONN U.FL RCPT STR 50 OHM SMD"
"TP2","U.FL","TopLayer","U.FL","60.4000","61.6750","180","CONN U.FL RCPT STR 50 OHM SMD"
"TP7","U.FL","TopLayer","U.FL","59.0877","44.3127","135","CONN U.FL RCPT STR 50 OHM SMD"
"TP10","U.FL","TopLayer","U.FL","53.1879","42.0629","135","CONN U.FL RCPT STR 50 OHM SMD"
"R12","2k20","TopLayer","R0402","66.4002","39.7252","0","???? 2200O ± 1.00% 0.0625W ± 100ppm/? 0402"
"R13","2k20","TopLayer","R0402","68.4501","39.7251","0","???? 2200O ± 1.00% 0.0625W ± 100ppm/? 0402"
"R14","100k","TopLayer","r0402","44.1182","36.2568","135","Res Thick Film 0402 100K Ohm 1% 0.063W ±100ppm/∞C Molded SMD Paper T/R"
"R18","130R","TopLayer","R0402","92.9000","28.8750","90","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R11","130R","TopLayer","R0402","86.4249","40.6999","180","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R9","130R","TopLayer","R0402","85.2999","46.5999","180","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R6","130R","TopLayer","R0402","69.9250","53.2250","180","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R3","130R","TopLayer","R0402","70.6750","55.4000","180","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R2","130R","TopLayer","R0402","68.8000","56.9500","180","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R1","130R","TopLayer","R0402","59.9500","57.2007","180","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R5","36R0","TopLayer","R0402","94.2695","53.7749","180","Res Thick Film 0402 36 Ohm 1% 0.063W(1/16W) ±100ppm/∞C Pad SMD T/R"
"R4","36R0","TopLayer","R0402","94.2748","55.1248","180","Res Thick Film 0402 36 Ohm 1% 0.063W(1/16W) ±100ppm/∞C Pad SMD T/R"
"R8","2k20","TopLayer","R0402","61.8429","47.7043","135","???? 2200O ± 1.00% 0.0625W ± 100ppm/? 0402"
"R7","2k20","TopLayer","R0402","59.8100","48.0486","315","???? 2200O ± 1.00% 0.0625W ± 100ppm/? 0402"
"L1","39nH","TopLayer","L0402","92.2000","55.1250","0","Inductor RF Chip Multi-Layer 0.039uH 5% 100MHz 8Q-Factor Ceramic 0.15A 1.2Ohm DCR 0402 T/R"
"FB1","68R","TopLayer","FB0402","53.7000","52.9250","180","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"C8","12pF","TopLayer","C0402","80.5245","52.9296","0","Ceramic capacitor SMD-0402 12pF /50V C0G# J +-5%, Samsung, RoHS"
"C7","12pF","TopLayer","C0402","82.7245","52.9296","180","Ceramic capacitor SMD-0402 12pF /50V C0G# J +-5%, Samsung, RoHS"
"C25","12pF","TopLayer","C0402","93.4000","26.7250","180","Ceramic capacitor SMD-0402 12pF /50V C0G# J +-5%, Samsung, RoHS"
"C15","12pF","TopLayer","C0402","88.0875","41.2000","270","Ceramic capacitor SMD-0402 12pF /50V C0G# J +-5%, Samsung, RoHS"
"C11","12pF","TopLayer","C0402","87.3000","47.1000","270","Ceramic capacitor SMD-0402 12pF /50V C0G# J +-5%, Samsung, RoHS"
"C10","100nF","TopLayer","C0402","84.2995","50.6046","270","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C6","100nF","TopLayer","C0402","57.2500","52.9750","0","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C9","10uF","TopLayer","c0805","56.7750","51.3250","180","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"C5","12pF","TopLayer","C0402","71.6000","52.7250","90","Ceramic capacitor SMD-0402 12pF /50V C0G# J +-5%, Samsung, RoHS"
"C3","12pF","TopLayer","C0402","72.7375","56.4554","180","Ceramic capacitor SMD-0402 12pF /50V C0G# J +-5%, Samsung, RoHS"
"C2","12pF","TopLayer","C0402","68.7500","58.2174","0","Ceramic capacitor SMD-0402 12pF /50V C0G# J +-5%, Samsung, RoHS"
"C1","12pF","TopLayer","C0402","59.9000","58.4031","0","Ceramic capacitor SMD-0402 12pF /50V C0G# J +-5%, Samsung, RoHS"
"C4","27pF","TopLayer","C0402","92.1349","53.7749","180","??????  27pF ±5% 50V C0G(NP0) 0402"
"R10","GENERIC","TopLayer","R0603","64.3250","46.1908","180",""
"C13","100nF","TopLayer","C0402","66.9000","45.3843","90","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C12","1uF","TopLayer","c0603","68.3000","45.1843","90","Multilayer Ceramic Capacitors (High dielectric type), 50V, 1 uF, ± 10 %, 0603, X5R, RoHS"
"C14","10uF","TopLayer","c0805","64.5500","44.3500","180","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"X1","25MHz","TopLayer","XTAL_FA-238V_3.2x2.5mm","82.1745","55.2546","180","Crystal 25MHz ±50ppm (Tol) ±30ppm (Stability) 12pF FUND 50Ohm 4-Pin CSMD T/R"
"U3","SOT5/6-23 GENERIC","TopLayer","SOT23-5/6_Modified","82.0500","28.0250","0",""
"U4","SOT5/6-23 GENERIC","TopLayer","SOT23-5/6_Modified","66.5662","27.9218","0",""
"U5","SOT5/6-23 GENERIC","TopLayer","SOT23-5/6_Modified","49.9750","18.4750","0",""
"TP23","U.FL","TopLayer","U.FL","78.3250","22.4750","90","CONN U.FL RCPT STR 50 OHM SMD"
"TP21","U.FL","TopLayer","U.FL","61.9750","23.6250","90","CONN U.FL RCPT STR 50 OHM SMD"
"TP25","U.FL","TopLayer","U.FL","45.4000","13.5750","180","CONN U.FL RCPT STR 50 OHM SMD"
"TP15","U.FL","TopLayer","U.FL","73.1776","35.2225","225","CONN U.FL RCPT STR 50 OHM SMD"
"TP18","U.FL","TopLayer","U.FL","56.4501","29.1001","90","CONN U.FL RCPT STR 50 OHM SMD"
"TP24","U.FL","TopLayer","U.FL","38.3492","14.3635","0","CONN U.FL RCPT STR 50 OHM SMD"
"R19","0R","TopLayer","R0402","83.2001","25.3751","0","GLOVE, POLYAMIDE, L/FREE, PU, SIZE 6 - More Details"
"R23","0R","TopLayer","R0402","67.7501","25.2251","0","GLOVE, POLYAMIDE, L/FREE, PU, SIZE 6 - More Details"
"R32","0R","TopLayer","R0402","51.1251","15.8251","0","GLOVE, POLYAMIDE, L/FREE, PU, SIZE 6 - More Details"
"R25","100k","TopLayer","r0402","85.2749","24.1499","180","Res Thick Film 0402 100K Ohm 1% 0.063W ±100ppm/∞C Molded SMD Paper T/R"
"R24","100k","TopLayer","r0402","69.8249","25.2249","180","Res Thick Film 0402 100K Ohm 1% 0.063W ±100ppm/∞C Molded SMD Paper T/R"
"R36","100k","TopLayer","r0402","53.1750","14.6250","180","Res Thick Film 0402 100K Ohm 1% 0.063W ±100ppm/∞C Molded SMD Paper T/R"
"R15","0R","TopLayer","R0402","78.7638","32.8890","315","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R16","0R","TopLayer","R0402","61.7504","31.3502","0","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R30","0R","TopLayer","R0402","44.8535","21.8750","0","Res General Purpose Thick Film 0402 130 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R26","0R","TopLayer","R0402","80.9501","24.1251","0","GLOVE, POLYAMIDE, L/FREE, PU, SIZE 6 - More Details"
"R28","0R","TopLayer","R0402","65.3019","22.9697","315","GLOVE, POLYAMIDE, L/FREE, PU, SIZE 6 - More Details"
"R35","0R","TopLayer","R0402","48.2501","15.2999","270","GLOVE, POLYAMIDE, L/FREE, PU, SIZE 6 - More Details"
"J12","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","102.8475","16.6260","270",""
"J4","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","88.5255","68.4250","0",""
"J15","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","84.6433","12.6500","0",""
"J8","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","102.8475","40.6988","270",""
"J3","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","79.1392","68.4250","0",""
"J14","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","74.9558","12.6500","0",""
"J7","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","102.8475","50.2619","270",""
"FB5","68R","BottomLayer","FB0402","81.7689","45.9236","0","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB3","68R","TopLayer","FB0402","86.7500","30.4500","180","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB2","68R","TopLayer","FB0402","66.5250","30.6000","180","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB4","68R","TopLayer","FB0402","53.9000","20.8000","180","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"C36","100nF","BottomLayer","C0402","81.7250","46.9546","0","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C35","10uF","BottomLayer","c0805","81.2501","48.9107","180","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"C29","47uF","TopLayer","C1210","82.6500","21.0500","270","CAP CER 47UF 10V 20% X7R 1210"
"C30","47uF","TopLayer","C1210","67.7590","20.5479","315","CAP CER 47UF 10V 20% X7R 1210"
"C34","47uF","TopLayer","C1210","50.6750","12.0750","0","CAP CER 47UF 10V 20% X7R 1210"
"C24","100nF","TopLayer","C0402","85.5250","28.5250","270","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C20","100nF","TopLayer","C0402","68.6750","30.6000","0","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C33","100nF","TopLayer","C0402","53.4000","19.0750","270","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C23","10uF","TopLayer","c0805","87.2000","28.0750","90","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"C18","10uF","TopLayer","c0805","67.9000","32.2500","180","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"C32","10uF","TopLayer","c0805","55.0250","18.4500","90","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"M1","M2.0","TopLayer","MECH_M2.0_UNPLATED","47.3250","71.3500","0",""
"M3","M2.0","TopLayer","MECH_M2.0_UNPLATED","47.3250","5.2000","0",""
"M2","M2.0","TopLayer","MECH_M2.0_UNPLATED","101.1250","71.3500","0",""
"M4","M2.0","TopLayer","MECH_M2.0_UNPLATED","101.1250","5.2000","0",""
"J11","610108249121","TopLayer","CONN_HDR_08_MALE_RA_2ROW_-_duplicate","34.2750","22.6640","90","SMT Angled Pin Header WR-PHD, Pitch 2.54 mm, Dual Row, 8 pins"
"J9","610108249121","TopLayer","CONN_HDR_08_MALE_RA_2ROW_-_duplicate","34.2750","34.3490","90","SMT Angled Pin Header WR-PHD, Pitch 2.54 mm, Dual Row, 8 pins"
"J5","M22-6550442R","TopLayer","CONN_HDR_08_FEMALE_RA_2ROW","111.3508","70.5200","270","Conn Socket Strip RCP 8 POS 2mm Solder RA SMD T/R"
"J2","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","69.7530","68.4250","180",""
"J13","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","65.2683","12.6500","0",""
"J6","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","102.8475","59.8250","270",""
"J1","HJ-2LC15SF026","TopLayer","SMA_TH_RA_BORE","60.3667","68.4250","180",""
"J10","M22-6550442R","TopLayer","CONN_HDR_08_FEMALE_RA_2ROW","111.3508","30.0000","270","Conn Socket Strip RCP 8 POS 2mm Solder RA SMD T/R"
