Quantity,Designator,Manufacturer,Manufacturer Part Number,DesignItemId

"6","C4, C6, C7, C9, C13, C20","Taiyo Yuden","UMK107BJ105KA-T","CAP CER 1uF 50V X5R 0603"
"2","C11, C18","Samsung","CL21A475KAQNNNE","CAP CER 4.7uF 25V X5R 0805"
"2","C1, C2","Samsung","CL21A106KAYNNNE","CAP CER 10uF 25V X5R 0805"
"1","C14","Murata","GRM32ER71A476ME15L","CAP CER 47uF 10V X7R 1210"
"10","C3, C5, C8, C10, C12, C15, C16, C17, C19, C21","Samsung","CL05A104KA5NNNC","CAP CER 100nF 25V X5R 0402"
"2","J4, J8","","","CON SMA BORE SMD BRD EDGE HJ-SMA023"
"2","J3, J7","","","CON SMA PIN SMD BRD EDGE HJ-SMA362"
"2","J2, J5","Harwin","M22-6550442R","CONN HDR 08 FEMALE RA 2 ROW"
"2","J1, J6","Wurth Electronics","610108249121","CONN HDR 08 MALE RA 2 ROW"
"1","PD1","","","DIODE PHOTO 540nm 20V VEMD5510CF-GS15"
"7","FB1, FB2, FB3, FB4, FB5, FB6, FB7","Taiyo Yuden","BK1005LL680-T","FB 68R 400mA 310mR 0402"
"1","U5","","","IC GPIO EXPANDER 16B I2C TCA9535RTWR"
"3","U2, U3, U4","","","IC OPAMP SOT5/6-23 GENERIC"
"1","U1","Texas Instruments","TPS61046YFFR","IC REG BOOST 28V 1A2 TPS61046YFFR"
"1","L1","Taiyo Yuden","NRS4018T100MDGJ","IND 10uH 1.2A 180mR 4040 NRS4018T100MDGJ"
"1","L2","TDK","MLG1005SR39JT000","IND HF 390nH 50mA 8R 0402"
"1","LD1","Sharp","GH05230H2K","LD TYPE A GREEN 30mW GH05230H2K"
"1","LED1","Kingbright","APHHS1005CGCK","LED GREEN CLEAR 0402"
"1","SW1","E-Switch","TL3305AF160QG","MECH PB SPST TL3305AF160QG"
"1","R11","Stackpole Electronics","RMCF0402ZT0R00","RES 0R 63mW 0402"
"5","R1, R8, R9, R14, R15","Yageo","RC0402FR-075K6L","RES 5k60 1% 63mW 0402"
"1","R17","Yageo","RC0402FR-0722K1L","RES 22.1k 1% 63mW 0402"
"2","R13, R16","","","RES 33k0 1% 100mW 0603"
"1","R10","","","RES 47R0 1% 500mW 0805"
"1","R12","","","RES 71R5 1% 500mW 0402"
"5","R2, R3, R5, R7, R19","Stackpole Electronics","RMCF0402FT100K","RES 100k 1% 63mW 0402"
"7","R6, R20, R21, R22, R23, R24, R25","Yageo","RC0402FR-07100RL","RES 100R 63mW 1% 0402"
"2","R4, R18","","","RES GENERIC 0402"
"7","TP14, TP15, TP16, TP17, TP20, TP21, TP23","Hirose","U.FL-R-SMT-1(80)","TP U.FL"
"1","Q1","Vishay Siliconix","2N7002K-T1-E3","TRANS NMOS 60V SOT-23-3 2N7002K-T1-E3"
