Altium Designer Pick and Place Locations
D:\PersonalProjects\Self-Mixing Diode\LaserDiode_Driver\.\Output Files\Pick Place\Pick Place for LaserDiode_Driver.csv

========================================================================================================================
File Design Information:

Date:       22-08-23
Time:       21:08
Revision:   12a31300c6b9f59363aab8336a59e5180ae52a0f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"M5","M2.0","TopLayer","MECH_M2.0_UNPLATED","70.9250","28.9500","0",""
"C7","1uF","TopLayer","c0603","68.4500","60.6500","0","Multilayer Ceramic Capacitors (High dielectric type), 50V, 1 uF, ± 10 %, 0603, X5R, RoHS"
"U4","TLV3541IDBVR","TopLayer","SOT23-5/6_Modified","81.9000","23.5250","270",""
"TP23","U.FL","TopLayer","U.FL","96.2712","15.4039","225","CONN U.FL RCPT STR 50 OHM SMD"
"R15","5k60","TopLayer","R0402","80.3249","27.0749","180","Res Thick Film 0402 5.6K Ohm 1% 0.063W(1/16W) ±100ppm/C Epoxy SMD T/R"
"R14","5k60","TopLayer","R0402","80.3249","28.2998","180","Res Thick Film 0402 5.6K Ohm 1% 0.063W(1/16W) ±100ppm/C Epoxy SMD T/R"
"PD1","VEMD5510CF-GS15","TopLayer","PIN_4x5_4pin","75.3250","24.0500","0","Photodiode PIN Chip 540nm 4-Pin SMD T/R"
"FB7","68R","TopLayer","FB0402","84.5750","19.8750","0","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"SW1","TL3305AF160QG","TopLayer","MECH_PB_TL3305A","56.1750","6.0000","270","TL3305A Series SPST 12 V 4.5 x 4.5 mm 160 gf Top Actuated SMT Tactile Switch"
"LED1","GREEN","TopLayer","led0402_green","57.0751","15.1000","0","LED GREEN CLEAR 0402 SMD"
"FB6","68R","TopLayer","FB0402","90.1500","33.9000","90","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB5","68R","TopLayer","FB0402","69.6250","41.7250","0","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB1","68R","TopLayer","FB0402","76.3250","67.0500","90","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
