Quantity,Designator,Manufacturer,Manufacturer Part Number,DesignItemId

"1","J8","","","ARJM11B1-009-AB-EW2"
"5","C1, C4, C5, C7, C8","Taiyo Yuden","UMK107BJ105KA-T","CAP CER 1uF 50V X5R 0603"
"4","C6, C13, C80, C91","Taiyo Yuden","LMK105BJ225MV-F","CAP CER 2.2uF 10V X5R 0402"
"1","C101","","","CAP CER 3.3nF 50V X7R 0402"
"14","C28, C30, C32, C34, C35, C37, C40, C48, C60, C63, C64, C67, C69, C72","Murata","GRM155R61A475MEAAD","CAP CER 4.7uF 10V X5R 0402"
"2","C44, C45","Samsung","CL05C6R8CB5NNNC","CAP CER 6.8pF 50V C0G 0402"
"1","C93","Yageo","CC0402ZRY5V7BB103","CAP CER 10nF 16V Y5V 0402"
"3","C9, C97, C98","Samsung","CL21A106KAYNNNE","CAP CER 10uF 25V X5R 0805"
"6","C85, C86, C88, C89, C94, C95","Samsung","CL05C120JB5NNNC","CAP CER 12pF 50V C0G 0402"
"2","C82, C84","Samsung","CL21A226MQQNNNE","CAP CER 22uF 6.3V X5R 0805"
"7","C16, C17, C19, C46, C58, C74, C75","Murata","GRM188R61A226ME15D","CAP CER 22uF 10V X5R 0603"
"2","C2, C3","Samsung","CL05C270JB5NNNC","CAP CER 27pF 50V C0G 0402"
"26","C15, C18, C20, C21, C22, C23, C24, C25, C26, C31, C33, C38, C39, C47, C59, C62, C66, C71, C79, C81, C83, C87, C90, C92, C96, C102","","","CAP CER 100nF 10V X5R 0201"
"4","C10, C12, C77, C78","Samsung","CL05A104KA5NNNC","CAP CER 100nF 25V X5R 0402"
"1","C68","Samsung","CL05B224KO5NNNC","CAP CER 220nF 16V X7R 0402"
"20","C27, C29, C36, C41, C42, C43, C49, C50, C51, C52, C53, C54, C55, C56, C57, C61, C65, C70, C73, C76","","","CAP CER 220nF 25V X5R 0201"
"3","J9, J10, J11","TE Connectivity AMP","T4144015051-000","CON M12-5A T4144015051-000"
"3","J1, J2, J3","","","CON SMA BORE SMD RA HJ-2LC15SF026"
"2","J4, J5","Harwin","M22-6550442R","CONN HDR 08 FEMALE RA 2 ROW"
