Altium Designer Pick and Place Locations
D:\PersonalProjects\Self-Mixing Diode\MCU\.\Output Files\Pick Place\Pick Place for MCU.csv

========================================================================================================================
File Design Information:

Date:       11-03-23
Time:       11:16
Revision:   fcf5dfc2d0f88ac933f3629d38b6cf57f62fde58
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP18","CLIP","BottomLayer","TESTPOINT_CLIP_1206","30.2501","26.1880","180","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP7","CLIP","BottomLayer","TESTPOINT_CLIP_1206","64.9751","39.1630","0","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP6","CLIP","BottomLayer","TESTPOINT_CLIP_1206","25.6751","60.1380","0","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP5","CLIP","BottomLayer","TESTPOINT_CLIP_1206","66.0501","68.9130","0","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"C44","6.8pF","TopLayer","C0402","53.0751","42.6630","270","Ceramic capacitor SMD-0402 6, 8pF /50V C0G# C +-0, 25pF%, Samsung, RoHS"
"C45","6.8pF","TopLayer","C0402","53.0751","44.8380","90","Ceramic capacitor SMD-0402 6, 8pF /50V C0G# C +-0, 25pF%, Samsung, RoHS"
"U6","MIMXRT1064CVL5B","TopLayer","BGA196C65P14X14_1000X1000X143","43.8367","44.8014","90","i.MXRT1064 USB Fix 10 / TRAY TRAY MULTIPLE DP BAKEABLE RoHS Compliant: Yes"
"X1","32.768kHz","TopLayer","XTAL_3.2x1.5mm","54.9501","43.7630","90","Crystal 0.032768MHz ±20ppm (Tol) 12.5pF Flexural 70000Ohm 2-Pin Ultra Mini-CSMD T/R"
"X2","24.000MHz","TopLayer","XTAL_FA-238V_3.2x2.5mm","54.3251","48.4380","90","Oscillator MEMS 24MHz ±50ppm (Stability) 15pF LVCMOS 55% 3.3V Automotive 4-Pin QFN SMD T/R"
"R26","1k00","TopLayer","R0402","37.8002","66.4381","0","1 kOhms °¿1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R25","1k00","TopLayer","R0402","36.9250","72.5631","90","1 kOhms °¿1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R24","27k0","TopLayer","R0402","6.4750","27.3381","90","Res Thick Film 0402 27K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R"
"L6","700R","TopLayer","IND_CM_9070","20.2276","11.1880","0","ACM Series 3628 700 Ohm 5 A 10 mOhm DCR 80 V SMT Common Mode Filter"
"C102","100nF","TopLayer","C0201","35.7528","72.4349","270","CAP CER 0.1UF 10V X5R 0201"
"C101","3.3nF","TopLayer","C0402","7.7001","27.2630","270","CAP CER 3300PF 50V X7R 0402"
"C100","100nF","TopLayer","C0402","26.6526","11.1630","270","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C99","10uF","TopLayer","c0805","28.3026","11.1130","90","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"C98","10uF","TopLayer","c0805","30.3776","11.1130","90","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"C97","10uF","TopLayer","c0805","13.5026","11.1630","90","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"U4","W25Q16JLSSIG 16Mb","TopLayer","SOC8W_7.9x5.3mm","59.6251","28.2630","0","NOR Flash Serial (SPI, Dual SPI, Quad SPI) 2.5V/3.3V 16M-bit 2M x 8 6ns 8-Pin SOIC Tube"
"U3","TLE4295GV50","TopLayer","PG-SCT595-5","43.8251","5.2130","0","LDO Regulator Pos 5V 0.03A Automotive 5-Pin(3+2Tab) SCT-595"
"U2","AP63357DV-7","TopLayer","VDFN3020-13_AP63357DV-7","7.3751","30.2455","0","AP63357 Series 32 V 3.5 A 450 kHz Synchronous Buck Converter - DFN3020-13"
"U1","MAX77958EWV+","TopLayer","BGA30C50P6X5_MAX77958EWV+","19.5001","21.0630","0","Industry's Simplest Standalone USB Type-C and USB Power Delivery Controller"
"TP19","1mm","TopLayer","TESTPOINT_SMT","31.4501","47.9380","90","SMT testpoint"
"TP12","1mm","TopLayer","TESTPOINT_SMT","11.4751","30.9630","90","SMT testpoint"
"TP11","1mm","TopLayer","TESTPOINT_SMT","27.1643","21.7522","90","SMT testpoint"
"TP10","1mm","TopLayer","TESTPOINT_SMT","21.8251","24.6880","90","SMT testpoint"
"TP9","1mm","TopLayer","TESTPOINT_SMT","25.7501","20.3380","90","SMT testpoint"
"TP8","1mm","TopLayer","TESTPOINT_SMT","20.7251","16.2630","90","SMT testpoint"
"TP4","CLIP","TopLayer","TESTPOINT_CLIP_1206","24.4751","28.4880","0","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP3","CLIP","TopLayer","TESTPOINT_CLIP_1206","82.2001","6.1380","0","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP2","CLIP","TopLayer","TESTPOINT_CLIP_1206","71.1001","69.2130","0","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
