Altium Designer Pick and Place Locations
D:\PersonalProjects\Self-Mixing Diode\PhaseShifter\.\Output Files\Pick Place\Pick Place for PhaseShifter(V0.0.0).csv

========================================================================================================================
File Design Information:

Date:       22-08-23
Time:       21:01
Revision:   Not in VersionControl
Variant:    V0.0.0
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C21","10nF","TopLayer","c0402","81.0750","23.5057","180","0402 10 nF 16 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"
"U5","SOT5/6-23 GENERIC","TopLayer","SOT23-5/6_Modified","79.4500","26.6750","90",""
"U6","SOT5/6-23 GENERIC","TopLayer","SOT23-5/6_Modified","73.2907","26.1850","0",""
"U4","SOT5/6-23 GENERIC","TopLayer","SOT23-5/6_Modified","74.7624","36.0388","270",""
"R9","5k10","TopLayer","R0402","69.8249","25.5501","90","???? 5100O ± 1.00% 0.0625W ± 100ppm/? 0402"
"R8","5k10","TopLayer","R0402","83.3749","27.8251","90","???? 5100O ± 1.00% 0.0625W ± 100ppm/? 0402"
"R7","1k00","TopLayer","R0402","84.5751","28.7251","90","1 kOhms °¿1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R4","1M00","TopLayer","r0402","73.1916","39.2566","0","???? 1000000O ± 1.00% 0.0625W ± 100ppm/? 0402"
"R6","100R","TopLayer","R0402","72.0774","34.8888","270","Res General Purpose Thick Film 0402 100 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R5","100R","TopLayer","R0402","70.8414","34.8888","90","Res General Purpose Thick Film 0402 100 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"Q1","MMBFJ309LT1G","TopLayer","SOT_23-3","72.6341","41.5486","180","Transistor; JFET - VHF/UHF Amplifier; 25 VDC; 10 mADC; SOT-23 (TO-236); Pb-Free"
"FB6","68R","TopLayer","FB0402","67.6420","25.5976","90","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"FB5","68R","TopLayer","FB0402","80.8000","34.8500","0","Ferrite Beads Multi-Layer 68Ohm 25% 100MHz 400mA 310mOhm DCR 0402 T/R"
"C18","10nF","TopLayer","c0402","82.1500","27.7750","90","0402 10 nF 16 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"
"C19","10nF","TopLayer","c0402","68.7000","25.6250","90","0402 10 nF 16 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"
"C15","100nF","TopLayer","C0402","75.3915","32.5236","180","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C17","100nF","TopLayer","C0402","76.8000","28.7500","90","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C16","100nF","TopLayer","C0402","74.9000","29.3500","90","Cap Ceramic 0.1uF 25V X5R 10% Pad SMD 0402 85°„C T/R / Multi Layer Ceramic Capacitor (MLCC)"
"C14","10uF","TopLayer","c0805","81.2750","33.2250","180","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85∞C Embossed T/R"
"TP17","U.FL","TopLayer","U.FL","79.2500","19.1500","180","CONN U.FL RCPT STR 50 OHM SMD"
"TP5","CLIP","TopLayer","TESTPOINT_CLIP_1206","92.8750","71.3500","0","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
"TP18","CLIP","TopLayer","TESTPOINT_CLIP_1206","52.0250","16.6500","270","Current Sense Resistors - SMD CHIP CHECKER HT=2.0 1206"
